2026-06-19 09:21:11 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (public read-only) against https://api.elections.kalshi.com/trade-api/v2
2026-06-19 09:21:12 | INFO    | kalshi.kalshi.client | Series KXHIGHNY -> 12 open markets
2026-06-19 09:21:12 | INFO    | kalshi.kalshi.client | Series KXHIGHCHI -> 12 open markets
2026-06-19 09:21:12 | INFO    | kalshi.kalshi.client | Series KXHIGHLAX -> 12 open markets
2026-06-19 09:21:12 | INFO    | kalshi.kalshi.client | Series KXHIGHMIA -> 12 open markets
2026-06-19 09:21:12 | INFO    | kalshi.kalshi.client | Series KXHIGHAUS -> 12 open markets
2026-06-19 09:21:12 | INFO    | kalshi.kalshi.client | Series KXHIGHDEN -> 12 open markets
2026-06-19 09:21:12 | INFO    | kalshi.kalshi.client | Series KXHIGHPHIL -> 12 open markets
2026-06-19 09:21:12 | INFO    | kalshi.kalshi.client | Pulled 84 live weather markets
2026-06-19 09:21:17 | INFO    | kalshi.scanner | Scan complete: 84 markets, 0 buys, 0 watch, 84 avoid
2026-06-19 11:58:07 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-19 11:58:09 | INFO    | kalshi.kalshi.client | Series KXHIGHNY -> 12 open markets
2026-06-19 11:58:09 | INFO    | kalshi.kalshi.client | Series KXHIGHCHI -> 12 open markets
2026-06-19 11:58:09 | INFO    | kalshi.kalshi.client | Series KXHIGHLAX -> 12 open markets
2026-06-19 11:58:09 | INFO    | kalshi.kalshi.client | Series KXHIGHMIA -> 12 open markets
2026-06-19 11:58:09 | INFO    | kalshi.kalshi.client | Series KXHIGHAUS -> 12 open markets
2026-06-19 11:58:09 | INFO    | kalshi.kalshi.client | Series KXHIGHDEN -> 12 open markets
2026-06-19 11:58:09 | INFO    | kalshi.kalshi.client | Series KXHIGHPHIL -> 12 open markets
2026-06-19 11:58:09 | INFO    | kalshi.kalshi.client | Pulled 84 live weather markets
2026-06-19 11:58:26 | INFO    | kalshi.scanner | Scan complete: 84 markets, 4 buys, 48 watch, 32 avoid
2026-06-19 12:01:49 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-19 12:01:52 | INFO    | kalshi.kalshi.client | Series KXHIGHNY -> 12 open markets
2026-06-19 12:01:52 | INFO    | kalshi.kalshi.client | Series KXHIGHCHI -> 12 open markets
2026-06-19 12:01:52 | INFO    | kalshi.kalshi.client | Series KXHIGHLAX -> 12 open markets
2026-06-19 12:01:52 | INFO    | kalshi.kalshi.client | Series KXHIGHMIA -> 12 open markets
2026-06-19 12:01:52 | INFO    | kalshi.kalshi.client | Series KXHIGHAUS -> 12 open markets
2026-06-19 12:01:52 | INFO    | kalshi.kalshi.client | Series KXHIGHDEN -> 12 open markets
2026-06-19 12:01:52 | INFO    | kalshi.kalshi.client | Series KXHIGHPHIL -> 12 open markets
2026-06-19 12:01:52 | INFO    | kalshi.kalshi.client | Pulled 84 live weather markets
2026-06-19 12:02:09 | INFO    | kalshi.scanner | Scan complete: 84 markets, 4 buys, 46 watch, 34 avoid
2026-06-19 12:29:26 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-19 12:29:28 | INFO    | kalshi.kalshi.client | Series KXHIGHNY -> 12 open markets
2026-06-19 12:29:29 | INFO    | kalshi.kalshi.client | Series KXHIGHCHI -> 12 open markets
2026-06-19 12:29:29 | INFO    | kalshi.kalshi.client | Series KXHIGHLAX -> 12 open markets
2026-06-19 12:29:29 | INFO    | kalshi.kalshi.client | Series KXHIGHMIA -> 12 open markets
2026-06-19 12:29:29 | INFO    | kalshi.kalshi.client | Series KXHIGHAUS -> 12 open markets
2026-06-19 12:29:29 | INFO    | kalshi.kalshi.client | Series KXHIGHDEN -> 12 open markets
2026-06-19 12:29:29 | INFO    | kalshi.kalshi.client | Series KXHIGHPHIL -> 12 open markets
2026-06-19 12:29:29 | INFO    | kalshi.kalshi.client | Pulled 84 live weather markets
2026-06-19 12:29:45 | INFO    | kalshi.scanner | Scan complete: 84 markets, 4 buys, 50 watch, 30 avoid
2026-06-19 12:31:37 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-19 12:31:39 | INFO    | kalshi.kalshi.client | Series KXHIGHNY -> 12 open markets
2026-06-19 12:31:39 | INFO    | kalshi.kalshi.client | Series KXHIGHCHI -> 12 open markets
2026-06-19 12:31:39 | INFO    | kalshi.kalshi.client | Series KXHIGHLAX -> 12 open markets
2026-06-19 12:31:40 | INFO    | kalshi.kalshi.client | Series KXHIGHMIA -> 12 open markets
2026-06-19 12:31:40 | INFO    | kalshi.kalshi.client | Series KXHIGHAUS -> 12 open markets
2026-06-19 12:31:40 | INFO    | kalshi.kalshi.client | Series KXHIGHDEN -> 12 open markets
2026-06-19 12:31:40 | INFO    | kalshi.kalshi.client | Series KXHIGHPHIL -> 12 open markets
2026-06-19 12:31:40 | INFO    | kalshi.kalshi.client | Pulled 84 live weather markets
2026-06-19 12:31:55 | INFO    | kalshi.scanner | Scan complete: 84 markets, 4 buys, 36 watch, 44 avoid
2026-06-20 13:17:25 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-20 13:17:26 | INFO    | kalshi.kalshi.client | Series KXHIGHNY -> 12 open markets
2026-06-20 13:17:26 | INFO    | kalshi.kalshi.client | Series KXHIGHCHI -> 12 open markets
2026-06-20 13:17:26 | INFO    | kalshi.kalshi.client | Series KXHIGHLAX -> 12 open markets
2026-06-20 13:17:26 | INFO    | kalshi.kalshi.client | Series KXHIGHMIA -> 12 open markets
2026-06-20 13:17:26 | INFO    | kalshi.kalshi.client | Series KXHIGHAUS -> 12 open markets
2026-06-20 13:17:26 | INFO    | kalshi.kalshi.client | Series KXHIGHDEN -> 12 open markets
2026-06-20 13:17:26 | INFO    | kalshi.kalshi.client | Series KXHIGHPHIL -> 12 open markets
2026-06-20 13:17:26 | INFO    | kalshi.kalshi.client | Pulled 84 live weather markets
2026-06-20 13:18:08 | INFO    | kalshi.scanner | Scan complete: 84 markets, 4 buys, 30 watch, 50 avoid
2026-06-20 17:09:51 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-20 17:21:51 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-20 17:23:55 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-20 17:26:00 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-20 17:28:05 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-20 17:30:10 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-20 17:32:16 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-20 17:34:21 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-20 17:36:25 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-20 17:38:32 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
2026-06-20 17:40:37 | INFO    | kalshi.kalshi.client | KalshiClient LIVE (authenticated) against https://api.elections.kalshi.com/trade-api/v2
